# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
13.150,6.8,6.7,6.1,11.4
13.175,6.8,6.7,6.1,11.4
13.200,6.8,6.7,6.1,11.4
13.225,6.8,6.7,6.1,11.4
13.250,6.8,6.7,6.1,11.4
13.275,6.9,6.4,6.1,11.2
13.300,6.9,6.4,6.1,11.2
13.325,6.9,6.4,6.1,11.2
13.350,6.9,6.4,6.1,11.2
13.375,6.8,6.0,6.1,11.0
13.400,6.8,6.0,6.1,11.0
13.425,6.8,6.0,6.1,11.0
13.450,6.8,5.8,6.1,10.9
13.475,6.8,5.8,6.1,10.9
13.500,6.8,5.8,6.1,10.9
13.525,6.8,5.8,6.1,10.9
13.550,6.8,5.9,6.1,10.9
13.575,6.8,5.9,6.1,10.9
13.600,6.8,5.9,6.1,10.9
13.625,6.8,6.2,6.2,11.1
13.650,6.8,6.2,6.2,11.1
13.675,6.8,6.2,6.2,11.1
13.700,6.8,6.2,6.2,11.1
13.725,6.8,6.6,6.2,11.3
13.750,6.8,6.6,6.2,11.3
13.775,6.8,6.6,6.2,11.3
13.800,6.8,6.6,6.2,11.3
13.825,6.9,6.7,6.2,11.4
13.850,6.9,6.7,6.2,11.4
13.875,6.9,6.7,6.2,11.4
13.900,6.9,6.6,6.2,11.4
13.925,6.9,6.6,6.2,11.4
13.950,6.9,6.6,6.2,11.4
13.975,6.9,6.6,6.2,11.4
14.000,6.8,6.2,6.3,11.1
14.025,6.8,6.2,6.3,11.1
14.050,6.8,6.2,6.3,11.1
14.075,6.8,6.2,6.3,11.1
14.100,6.9,5.9,6.3,11.0
14.125,6.9,5.9,6.3,11.0
14.150,6.9,5.9,6.3,11.0
14.175,6.9,5.9,6.3,11.0
14.200,6.9,5.8,6.3,10.9
14.225,6.9,5.8,6.3,10.9
14.250,6.9,5.8,6.3,10.9
14.275,6.8,5.9,6.3,11.0
14.300,6.8,5.9,6.3,11.0
14.325,6.8,5.9,6.3,11.0
14.350,6.8,5.9,6.3,11.0
14.375,6.8,6.2,6.2,11.1
14.400,6.8,6.2,6.2,11.1
14.425,6.8,6.2,6.2,11.1
14.450,6.8,6.4,6.2,11.2
14.475,6.8,6.4,6.2,11.2
14.500,6.8,6.4,6.2,11.2
14.525,6.8,6.4,6.2,11.2
14.550,6.9,6.6,6.2,11.4
14.575,6.9,6.6,6.2,11.4
14.600,6.9,6.6,6.2,11.4
14.625,6.9,6.6,6.2,11.4
14.650,6.8,6.6,6.2,11.3
14.675,6.8,6.6,6.2,11.3
14.700,6.8,6.6,6.2,11.3
14.725,6.8,6.6,6.2,11.3
14.750,6.8,6.2,6.1,11.1
14.775,6.8,6.2,6.1,11.1
14.800,6.8,6.2,6.1,11.1
14.825,6.8,6.2,6.1,11.1
14.850,6.8,6.0,6.1,10.9
14.875,6.8,6.0,6.1,10.9
14.900,6.8,6.0,6.1,10.9
14.925,6.8,6.0,6.1,10.9
14.950,6.8,5.9,6.1,10.9
14.975,6.8,5.9,6.1,10.9
15.000,6.8,5.9,6.1,10.9
15.025,6.8,6.1,6.1,11.0
15.050,6.8,6.1,6.1,11.0
15.075,6.8,6.1,6.1,11.0
15.100,6.8,6.1,6.1,11.0
15.125,6.9,6.3,6.2,11.2
15.150,6.9,6.3,6.2,11.2
15.175,6.9,6.3,6.2,11.2
15.200,6.9,6.5,6.2,11.3
15.225,6.9,6.5,6.2,11.3
15.250,6.9,6.5,6.2,11.3
15.275,6.9,6.5,6.2,11.3
15.300,6.9,6.6,6.2,11.4
15.325,6.9,6.6,6.2,11.4
15.350,6.9,6.6,6.2,11.4
15.375,6.9,6.6,6.2,11.4
15.400,6.9,6.5,6.2,11.4
15.425,6.9,6.5,6.2,11.4
15.450,6.9,6.5,6.2,11.4
15.475,6.9,6.3,6.3,11.2
15.500,6.9,6.3,6.3,11.2
15.525,6.9,6.3,6.3,11.2
15.550,6.9,6.3,6.3,11.2
